name,city,categories,review_count,stars
Pai Northern Thai Kitchen,Toronto,"Restaurants, Food, Thai, Ethnic Food, Specialty Food",2121,4.5
Seven Lives Tacos Y Mariscos,Toronto,"Seafood, Restaurants, Mexican",1152,4.5
Banh Mi Boys,Toronto,"Sandwiches, Restaurants, Asian Fusion, Food, Delicatessen, Vietnamese",1045,4.5
Byblos,Toronto,"Restaurants, Middle Eastern, Mediterranean",700,4.5
Richmond Station,Toronto,"Canadian (New), Restaurants",645,4.5
St Lawrence Market,Toronto,"Farmers Market, Restaurants, Grocery, Sandwiches, Food",496,4.5
Ramen Isshin,Toronto,"Ramen, Noodles, Tapas/Small Plates, Food, Japanese, Restaurants",493,4.5
Jacobs & Co. Steakhouse,Toronto,"Event Planning & Services, Hotels & Travel, Steakhouses, Restaurants, Hotels",488,4.5
Blaze Fast-Fire'd Pizza,Toronto,"Gluten-Free, Restaurants, Salad, Pizza, Fast Food",434,4.5
Kekou Gelato House,Toronto,"Ice Cream & Frozen Yogurt, Food, Desserts, Cafes, Restaurants",411,4.5
